[2.23573254e-01 4.55812858e-01 8.61539110e-01 4.74683841e+02],[-3.35173874e-01 -7.94053399e-01  5.07087441e-01  4.04468680e+02],[ 9.15245035e-01 -4.02136591e-01 -2.47525407e-02 -8.52725809e+02],[0. 0. 0. 1.]
[2.26026638e-01 4.36429683e-01 8.70885234e-01 4.72131227e+02],[-3.31940496e-01 -8.06007863e-01  4.90068191e-01  4.02918068e+02],[ 9.15820652e-01 -3.99850542e-01 -3.73105619e-02 -8.51385903e+02],[0. 0. 0. 1.]
[1.96898517e-01 3.56459894e-01 9.13327607e-01 4.72434242e+02],[-3.85009106e-01 -8.28617404e-01  4.06400279e-01  3.99160058e+02],[ 9.01664551e-01 -4.31659057e-01 -2.59132333e-02 -8.44183041e+02],[0. 0. 0. 1.]
[1.99579178e-01 4.27265564e-01 8.81823276e-01 4.79939507e+02],[-3.28003486e-01 -8.18882348e-01  4.71004685e-01  4.06903592e+02],[ 9.23353597e-01 -3.83243836e-01 -2.32872713e-02 -8.50730512e+02],[0. 0. 0. 1.]
[1.84215797e-01 3.69784843e-01 9.10672120e-01 4.82474994e+02],[-3.09124603e-01 -8.57714957e-01  4.10812649e-01  4.07882901e+02],[ 9.33009389e-01 -3.57189338e-01 -4.36950520e-02 -8.45095975e+02],[0. 0. 0. 1.]
[1.96750530e-01 4.16175116e-01 8.87742925e-01 4.70185758e+02],[-2.51604246e-01 -8.53688260e-01  4.55973309e-01  4.04598714e+02],[ 9.47620458e-01 -3.13072880e-01 -6.32521917e-02 -8.48775979e+02],[0. 0. 0. 1.]
[1.53188305e-01 4.00856035e-01 9.03242925e-01 4.81341381e+02],[-1.45791374e-01 -8.94861474e-01  4.21862320e-01  4.04669558e+02],[ 9.77383353e-01 -1.96309401e-01 -7.86409599e-02 -8.53213011e+02],[0. 0. 0. 1.]
[1.71022874e-01 4.27716390e-01 8.87586540e-01 4.70310710e+02],[-1.82273133e-01 -8.71574025e-01  4.55121109e-01  4.07543211e+02],[ 9.68260131e-01 -2.39619300e-01 -7.10978884e-02 -8.43017269e+02],[0. 0. 0. 1.]
[2.13972334e-01 3.88690925e-01 8.96178110e-01 4.73700700e+02],[-2.44984942e-01 -8.66752805e-01  4.34421400e-01  3.98690724e+02],[ 9.45620547e-01 -3.12504303e-01 -9.02376968e-02 -8.56255158e+02],[0. 0. 0. 1.]
[1.41377473e-01 3.38160110e-01 9.30408593e-01 4.80674677e+02],[-3.07510797e-01 -8.78353549e-01  3.65967419e-01  4.08171874e+02],[ 9.40983273e-01 -3.37850237e-01 -2.01915207e-02 -8.56564458e+02],[0. 0. 0. 1.]
